193.494	37.2813	2.30171	-0.190797	-0.152832	193.555	37.4234	193.738	37.3853	2.02478	0.190626	2.02462	0.0250452	0.0190267	0.107323
195.973	37.3911	3.3478	0.247499	0.21542	195.991	37.3991	195.762	37.3598	1.92485	0.188575	1.92349	-0.072386	0.920846	0.107323
195.835	37.3974	2.35871	0.298174	0.297006	195.507	37.4891	195.762	37.3598	1.92485	0.188575	1.92349	-0.072386	0.920846	3.8691
197.721	37.7348	2.42324	0.206418	0.0563759	197.725	37.7285	197.683	37.2395	1.82567	0.186198	1.81869	-0.159495	0.162522	3.8691
197.674	37.7242	2.07145	0.18701	0.0445825	197.582	37.303	197.683	37.2395	1.82567	0.186198	1.81869	-0.159495	0.162522	0.511864
199.293	37.2995	1.89931	-0.413423	-0.357103	199.294	37.2862	199.497	37.0353	1.72824	0.183554	1.71212	-0.235529	0.471969	0.511864
199.309	37.3046	2.00793	-0.39484	-0.330752	199.356	37.3527	199.497	37.0353	1.72824	0.183554	1.71212	-0.235529	0.471969	0.0574103
201.528	36.9881	2.95104	0.017207	0.136794	201.549	36.9973	201.203	36.7587	1.63352	0.180702	1.6057	-0.300201	1.21571	0.0574103
201.372	36.9941	2.13931	-0.114135	-0.0374204	200.932	37.4694	201.203	36.7587	1.63352	0.180702	1.6057	-0.300201	1.21571	4.22462
202.963	36.4599	2.13162	-0.326951	-0.144301	202.962	36.4568	202.801	36.4212	1.54246	0.177697	1.50137	-0.353671	0.0325595	4.22462
202.918	36.4476	1.75018	-0.386609	-0.247603	202.65	37.2445	202.801	36.4212	1.54246	0.177697	1.50137	-0.353671	0.0325595	0.470843
203.991	36.1865	1.2533	-0.203507	0.0131979	203.991	36.1967	204.294	36.0343	1.45598	0.174589	1.40095	-0.396497	0.266043	0.470843
203.989	36.1717	1.52072	-0.141235	0.101257	203.809	36.2941	204.294	36.0343	1.45598	0.174589	1.40095	-0.396497	0.266043	0.660313
